instruments/recorder,Notes,midi,inicio,fim,duracao,i,j,avg conf,std dev,eye_pos
instruments/recorder/20220416_161109.mp4,86,53.0,16.59,16.75,0.16000000000000014,1659.0,1675.0,0.8584080934524536,0.2572739742366198,"[[1129.1666666666667, 149.16666666666666], [1269.5, 138.0]]"
instruments/recorder/20220416_161109.mp4,87,53.0,16.78,16.9,0.11999999999999744,1678.0,1690.0,0.8637995719909668,0.18674455832244094,"[[1122.6666666666667, 156.33333333333334], [1259.4166666666667, 143.16666666666669]]"
instruments/recorder/20220416_161109.mp4,88,53.0,16.91,16.99,0.0799999999999983,1691.0,1699.0,0.856492817401886,0.2040484226338186,"[[1124.5, 159.5], [1261.1666666666667, 145.83333333333334]]"
instruments/recorder/20220416_161109.mp4,92,95.0,21.61,21.69,0.08000000000000185,2161.0,2169.0,0.8428034782409668,0.04497453362576913,"[[1183.8333333333333, 155.83333333333334], [1329.0, 144.5]]"
instruments/recorder/20220416_161109.mp4,101,94.0,24.32,27.21,2.8900000000000006,2432.0,2721.0,0.8811530470848083,0.05103660533100813,"[[1188.6666666666667, 162.16666666666666], [1335.3333333333333, 149.83333333333334]]"
instruments/recorder/20220416_161109.mp4,102,94.0,27.22,27.29,0.07000000000000028,2722.0,2729.0,0.8964883685112,0.13706672175115653,"[[1192.8333333333333, 145.83333333333334], [1339.8333333333333, 132.5]]"
instruments/recorder/20220416_161109.mp4,104,81.0,27.85,28.8,0.9499999999999993,2785.0,2880.0,0.851870059967041,0.07045387639526039,"[[1196.8333333333335, 163.5], [1348.5833333333333, 151.0]]"
instruments/recorder/20220416_161109.mp4,105,81.0,28.95,29.11,0.16000000000000014,2895.0,2911.0,0.8647451400756836,0.017774970756806147,"[[1198.0, 164.0], [1349.3333333333333, 152.16666666666666]]"
instruments/recorder/20220416_161109.mp4,108,93.0,29.36,29.49,0.129999999999999,2936.0,2949.0,0.8119879364967346,0.08136299010276349,"[[1205.6666666666667, 163.0], [1356.3333333333335, 152.66666666666666]]"
instruments/recorder/20220416_161109.mp4,109,93.0,29.56,31.37,1.8100000000000023,2956.0,3137.0,0.8366886973381042,0.1986923144857373,"[[1209.0, 165.33333333333334], [1358.8333333333333, 155.83333333333334]]"
instruments/recorder/20220416_161109.mp4,110,93.0,31.38,31.56,0.17999999999999972,3138.0,3156.0,0.9211781620979309,0.06506429810244274,"[[1212.5833333333335, 164.08333333333331], [1361.6666666666665, 156.58333333333334]]"
instruments/recorder/20220416_161109.mp4,111,93.0,31.57,31.62,0.05000000000000071,3157.0,3162.0,0.8592860102653503,0.08634281920854152,"[[1212.6666666666667, 150.83333333333334], [1362.5, 141.5]]"
instruments/recorder/20220416_161109.mp4,113,94.0,33.75,36.32,2.5700000000000003,3375.0,3632.0,0.9170005917549133,0.09337212184641025,"[[1218.3333333333333, 167.08333333333331], [1368.0, 157.91666666666669]]"
instruments/recorder/20220416_161109.mp4,124,90.0,43.26,43.4,0.14000000000000057,4326.0,4340.0,0.8994964361190796,0.1429423809991394,"[[1220.0, 184.33333333333334], [1370.8333333333333, 174.66666666666666]]"
instruments/recorder/20220416_161109.mp4,126,94.0,43.9,45.6,1.7000000000000028,4390.0,4560.0,0.9278091192245483,0.037633408704986215,"[[1222.6666666666667, 182.25], [1374.25, 171.83333333333334]]"
instruments/recorder/20220416_161109.mp4,127,90.0,45.95,46.06,0.10999999999999943,4595.0,4606.0,0.8572950959205627,0.17904623761133265,"[[1227.5833333333335, 181.41666666666669], [1377.3333333333335, 171.0]]"
